Video ID,Video Title,Video Date,Video Views,Video Likes,Video Comment Count,Video URL,Spam Filtered
kKZ4cjBtt7E,"Cum a fost surprins Nicușor Dan alături de fiica sa, după victoria la alegerile prezidențiale",2025-05-20T07:33:44Z,26691,509,193,https://www.youtube.com/watch?v=kKZ4cjBtt7E,0
Mc1tgSTfHgg,"Dezbaterea Nicușor Dan-George Simion, analizată de experți în comunicare: Poate răsturna scorul",2025-05-09T11:56:47Z,103198,1283,730,https://www.youtube.com/watch?v=Mc1tgSTfHgg,0
mHgS5oYashY,"Sondaj CURS pentru alegerile prezidențiale 2025, turul 2: George Simion - 52%, Nicușor Dan - 48%",2025-05-13T14:22:07Z,23029,208,338,https://www.youtube.com/watch?v=mHgS5oYashY,0
Mmtl696_lzY,"George Simion își revendică victoria în alegeri. „Eu sunt Președintele României""",2025-05-18T18:28:18Z,43058,290,274,https://www.youtube.com/watch?v=Mmtl696_lzY,0
MXK6ICmlCJo,LIVE: Nicușor Dan este invitatul Andreei Esca la Știrile PRO TV,2025-05-13T16:23:48Z,208814,5757,1622,https://www.youtube.com/watch?v=MXK6ICmlCJo,0
n57lxTC1c7Q,"Prezenţă istorică la vot, în Diaspora. Vot masiv în UK,  Italia, Germania, R. Moldova şi Spania",2025-05-17T06:27:50Z,98098,1333,1125,https://www.youtube.com/watch?v=n57lxTC1c7Q,0
nkJr2ylMtFc,"Exclusiv: Crin Antonescu, mesaj în direct înainte de alegeri",2025-05-12T08:03:40Z,58443,527,416,https://www.youtube.com/watch?v=nkJr2ylMtFc,0
O_sU3ugKbUM,"Prezență record la vot și o Românie împărțită. Victoria lui Nicușor Dan, în cifre",2025-05-19T04:22:38Z,73059,931,496,https://www.youtube.com/watch?v=O_sU3ugKbUM,0
OAvV4JYe3zI,George Simion - candidat Alianța pentru Unirea Românilor | Aproximativ Discutii ALEGERI 2025,2025-04-14T15:00:06Z,230463,4868,2168,https://www.youtube.com/watch?v=OAvV4JYe3zI,0
oPHBapP-8QE,"George Simion, față în față cu Andreea Esca. Cum a răspuns la întrebarea ""Sunteți un om violent?""",2024-09-20T07:44:30Z,584808,6397,3710,https://www.youtube.com/watch?v=oPHBapP-8QE,0
OZGTW96epL0,DISCURSUL DE ÎNVINGĂTOR AL PREȘEDINTELUI NICUȘOR DAN. Știri B1TV_19 mai 2025,2025-05-18T21:55:45Z,9970,359,198,https://www.youtube.com/watch?v=OZGTW96epL0,0
peu06tceswg,MOMENTE: Rezultatele alegerilor (TURUL 1) | Codin reactioneaza,2025-05-08T10:01:40Z,58612,2413,139,https://www.youtube.com/watch?v=peu06tceswg,0
pIIEdXNTFtU,"Nicușor Dan, după rezultatele exit-poll: Trăim un moment de speranță",2025-05-18T18:23:36Z,65287,731,388,https://www.youtube.com/watch?v=pIIEdXNTFtU,0
P-sxENN-jgk,19 MAI 2025. Nu va fi deloc ușor: Nicușor Dan la Cotroceni,2025-05-19T16:59:19Z,205449,8050,882,https://www.youtube.com/watch?v=P-sxENN-jgk,0
PUqAovDZ98s,Analiza lui Theodor Paleologu. Ce spune victoria lui Nicușor Dan despre România,2025-05-19T07:15:31Z,243536,7325,757,https://www.youtube.com/watch?v=PUqAovDZ98s,0
QDhvawv-qmM,Rezultate oficiale alegeri prezidenţiale 2025 în timp real,2025-05-18T19:40:06Z,90505,713,748,https://www.youtube.com/watch?v=QDhvawv-qmM,0
